,_away_team_id,_home_team_id,away_score,away_team,home_score,home_team,is_playoff,matchup_type,game_id,home_owner_displayName,home_owner_id,week,season,is_tie,is_bye,away_owner_displayName,away_owner_id,winner,loser,point_difference
1173,10,5,158.0,Team(The Cream),77.0,Team(Team Double Dragon),False,NONE,7b8eea0e-3754-466e-8621-5f0aa378488b,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},2,2021,False,False,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},adrenth01,jstoll65,81.0
1174,8,12,161.0,Team(Tompa Brady Fuckaneers),187.0,Team(Booty Cheeks),False,NONE,d8661273-8424-4372-9a84-77c1edc4c7ec,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},2,2021,False,False,b50rock,{01CE0D04-A444-4E05-A299-3EB2F3AFB3CB},juicebox269,b50rock,26.0
1175,7,6,132.0,Team(Kame  Hame Ha),98.0,Team(Black Man Feel it Feel it),False,NONE,267eadc3-9a61-4888-90e7-e25cab01a0c0,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},2,2021,False,False,espn75676325,{30361C1B-B214-4449-8054-E2FD70FD237D},espn75676325,Rodney19140,34.0
1176,1,2,117.0,Team(Team Tacky Dick),108.0,Team(Twat  Waffles ),False,NONE,c453ec10-3b88-4441-aae3-d6d78d263d08,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},3,2021,False,False,kevinconklin05,{BACD49E7-E651-4852-B571-C9889FA45A6B},kevinconklin05,jmuggy20,9.0
1177,13,11,130.0,Team(Brady's  Deflated Balls),121.0,Team(country road take mahomes),False,NONE,153b5e6b-2e6b-479a-bac0-42f5617fa0b8,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},3,2021,False,False,frolickingjester,{0133E548-B275-4F89-B8B7-340D9C8A6B8F},frolickingjester,joe52690,9.0
1178,4,9,153.0,Team(Rich's Bitches),122.0,Team(Cucamonga Crack'a Killaz ),False,NONE,6e14dadd-dcea-473b-942e-d9c1b4424305,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},3,2021,False,False,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},RichoSuave,Dieselbaron,31.0
1179,10,8,132.0,Team(The Cream),134.0,Team(Tompa Brady Fuckaneers),False,NONE,09772d15-cb39-4222-9cfc-f7036b63cbf1,b50rock,{01CE0D04-A444-4E05-A299-3EB2F3AFB3CB},3,2021,False,False,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},b50rock,adrenth01,2.0
1180,5,6,191.0,Team(Team Double Dragon),92.0,Team(Black Man Feel it Feel it),False,NONE,b2f12369-2119-4be3-8e05-62b37b2dc87f,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},3,2021,False,False,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},jstoll65,Rodney19140,99.0
1181,7,12,118.0,Team(Kame  Hame Ha),111.0,Team(Booty Cheeks),False,NONE,7d488c34-0bd0-4d56-9593-0717add516a4,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},3,2021,False,False,espn75676325,{30361C1B-B214-4449-8054-E2FD70FD237D},espn75676325,juicebox269,7.0
1182,13,2,112.0,Team(Brady's  Deflated Balls),181.0,Team(Twat  Waffles ),False,NONE,a28add6f-ed1d-42f8-9a08-8bdd3df159b5,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},4,2021,False,False,frolickingjester,{0133E548-B275-4F89-B8B7-340D9C8A6B8F},jmuggy20,frolickingjester,69.0
1183,1,11,131.0,Team(Team Tacky Dick),115.0,Team(country road take mahomes),False,NONE,5e190db9-3810-4528-924e-ca4ac2398e50,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},4,2021,False,False,kevinconklin05,{BACD49E7-E651-4852-B571-C9889FA45A6B},kevinconklin05,joe52690,16.0
1184,9,4,143.0,Team(Cucamonga Crack'a Killaz ),148.0,Team(Rich's Bitches),False,NONE,21810e30-b681-45fa-a115-8b532c6b02e8,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},4,2021,False,False,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},RichoSuave,Dieselbaron,5.0
1185,5,8,158.0,Team(Team Double Dragon),169.0,Team(Tompa Brady Fuckaneers),False,NONE,be1cd281-a4e2-4474-b9f8-b42ea72c6ece,b50rock,{01CE0D04-A444-4E05-A299-3EB2F3AFB3CB},4,2021,False,False,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},b50rock,jstoll65,11.0
1186,10,6,148.0,Team(The Cream),69.0,Team(Black Man Feel it Feel it),False,NONE,63838dd6-d93e-4e58-bf7a-9e869992afca,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},4,2021,False,False,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},adrenth01,Rodney19140,79.0
1187,12,7,174.0,Team(Booty Cheeks),133.0,Team(Kame  Hame Ha),False,NONE,bfb94019-abab-4752-991f-38f9935c7421,espn75676325,{30361C1B-B214-4449-8054-E2FD70FD237D},4,2021,False,False,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},juicebox269,espn75676325,41.0
1188,13,1,136.0,Team(Brady's  Deflated Balls),110.0,Team(Team Tacky Dick),False,NONE,695d81fd-711f-4ab9-bcf3-6efdc2835b25,kevinconklin05,{BACD49E7-E651-4852-B571-C9889FA45A6B},5,2021,False,False,frolickingjester,{0133E548-B275-4F89-B8B7-340D9C8A6B8F},frolickingjester,kevinconklin05,26.0
1189,2,4,133.0,Team(Twat  Waffles ),187.0,Team(Rich's Bitches),False,NONE,5e212154-ece2-48f6-a44f-7edc0ce111d1,RichoSuave,{C15DACB8-4387-4BC5-98F6-10A6E48834D5},5,2021,False,False,jmuggy20,{66554CD2-EC21-410C-9284-FC9D5614B933},RichoSuave,jmuggy20,54.0
1190,11,9,99.0,Team(country road take mahomes),169.0,Team(Cucamonga Crack'a Killaz ),False,NONE,fcd9cfd2-d1cd-45cc-8ca0-53ca04d967cc,Dieselbaron,{B550370D-2841-4220-80C7-D7CF19847E04},5,2021,False,False,joe52690,{E86AAC04-DB33-47FC-B06E-01CD6D7C34D5},Dieselbaron,joe52690,70.0
1191,5,10,142.0,Team(Team Double Dragon),192.0,Team(The Cream),False,NONE,32fde7d4-7d3c-4512-a182-ef72ac628917,adrenth01,{9F46CDD4-E40F-46AB-AF45-3203483549EA},5,2021,False,False,jstoll65,{704398CC-E7F5-40F6-BA8F-D0C4843727AF},adrenth01,jstoll65,50.0
1192,8,7,179.0,Team(Tompa Brady Fuckaneers),151.0,Team(Kame  Hame Ha),False,NONE,0f154281-4ecc-40a1-9580-b5eb293be7e0,espn75676325,{30361C1B-B214-4449-8054-E2FD70FD237D},5,2021,False,False,b50rock,{01CE0D04-A444-4E05-A299-3EB2F3AFB3CB},b50rock,espn75676325,28.0
1193,6,12,52.0,Team(Black Man Feel it Feel it),170.0,Team(Booty Cheeks),False,NONE,5e80c2f6-0733-44ea-a098-f4d5d1ce3074,juicebox269,{3EE836C8-9956-4A3D-AE5B-6F24FFABAEB0},5,2021,False,False,Rodney19140,{FA77B69A-52E6-40D4-831F-8D35670B9BED},juicebox269,Rodney19140,118.0
